word,meaning,phonetic,example,example_cn
charity,慈善（行为）；救济金， 施舍物； 慈善团体， 慈善事业； 宽大， 宽容；施舍；慈善事业,,She donated money to a local charity that helps homeless people.,她向一家帮助无家可归者的当地慈善机构捐了钱。
charm,吸引， 迷住；迷人的特性，魅力；符咒，咒文,,The old town still has its historical charm.,这座古镇仍然保留着它的历史魅力。
charming,迷人的，可爱的,,He gave her a charming smile and she immediately felt at ease.,他给了她一个迷人的微笑，她立刻感到自在了。
chart,图表；航海图；图，图表；海图；用图表表示， 在图上表示,,The teacher showed us a chart of the solar system.,老师给我们看了一张太阳系的图表。
charter,包租的， 租用的；包，租；宪章，共同纲领；特许状，许可证；包租,,They chartered a boat for their summer vacation.,他们包租了一艘船去度暑假。
chase,追逐， 追赶； 追求；追逐，追赶，追求,,The dog likes to chase the ball in the park.,那只狗喜欢在公园里追球。
chat,聊天,,Let's sit down and have a chat over coffee.,我们坐下来边喝咖啡边聊聊天吧。
cheap,廉价的；劣质的,,"This pen was very cheap, only one dollar.",这支笔非常便宜，只要一美元。
cheat,欺骗, 作弊；欺骗， 欺骗行为； 骗子；欺骗；作弊；哄，行骗；行骗；骗取；哄,He was caught trying to cheat on the final exam.,他在期末考试中试图作弊被抓住了。,
check,检查；检查；制止,,Please check your answers before handing in the paper.,交卷前请检查你的答案。
cheek,脸颊；面颊，脸蛋,,She kissed her grandmother on the cheek.,她在祖母的脸颊上亲了一下。
cheer,使振作；欢呼,,The crowd gave a loud cheer when the team scored.,当球队得分时，人群发出响亮的欢呼声。
cheerful,快乐的， 愉快的； 使人感到愉快的；快乐的，愉快的,,"Even on rainy days, she always looks cheerful.",即使下雨天，她看起来总是很快乐。
cheese,奶酪，干酪,,Would you like some cheese on your sandwich?,你的三明治上要加些奶酪吗？
chef,厨师,,The chef prepared a delicious three-course meal.,这位厨师准备了一顿美味的三道菜晚餐。
chemical,化学制品；化学的；化学的 n. 化学制品,,This factory produces chemical products for farming.,这家工厂生产用于农业的化工产品。
chemist,化学家， 药剂师；化学家；药剂师,,The chemist mixed two liquids together to see what would happen.,这位化学家把两种液体混合在一起，看看会发生什么。
chemistry,化学,,I found chemistry class more interesting than physics.,我觉得化学课比物理课更有趣。
cheque,支票,,He wrote a cheque to pay for the new furniture.,他开了一张支票来支付新家具的费用。
cherish,珍爱； 怀有,,I will always cherish the memories of my childhood.,我会永远珍惜童年的回忆。
cherry,樱桃；樱桃树,,We picked fresh cherries from the tree in the garden.,我们从花园里的树上摘了新鲜的樱桃。
chess,棋；国际象棋,,My grandfather taught me how to play chess.,我爷爷教我如何下国际象棋。
chest,胸腔， 胸膛； 箱子；胸腔，胸膛；箱子,,He crossed his arms over his chest and waited.,他双臂交叉放在胸前等着。
chew,咀嚼， 嚼碎；咀嚼，嚼碎,,You should chew your food slowly before swallowing.,吞咽之前你应该慢慢咀嚼食物。
chicken,小鸡，小鸟；鸡肉,,We had roasted chicken for dinner last night.,我们昨晚晚餐吃了烤鸡。
chief,主要的，为首的；总的；主要的；首席的；首领， 长官； 酋长， 族长,,The chief executive officer announced a new company policy.,首席执行官宣布了一项新的公司政策。
child,小孩，儿童；儿子,,The child was playing with a toy car in the park.,那个孩子在公园里玩一辆玩具车。
childhood,童年， 幼年， 早期；童年，幼年；早期,,She had a happy childhood growing up in a small village.,她在一个小村庄里度过了快乐的童年。
childish,孩子的；幼稚的,,Don't be so childish — you can't always get what you want.,别这么幼稚——你不能总是得到你想要的。
chill,使变冷；变冷，感到冷；寒冷；寒冷， 寒气； 风寒， 寒战,,"There's a chill in the air this morning, so wear a jacket.",今天早上空气里有点寒意，穿件夹克吧。
chimney,烟囱，烟筒；玻璃罩,,Smoke was rising from the chimney of the old house.,烟从老房子的烟囱里升起。
chin,颏， 下巴；颏，下巴,,He rested his chin on his hand while thinking.,他用手托着下巴思考。
chip,屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵,,The children ate a bag of potato chips after school.,孩子们放学后吃了一袋薯片。
chocolate,巧克力；巧克力糖,,I bought a box of chocolate for my mother.,我给妈妈买了一盒巧克力。
choice,选择，抉择,,You have to make a choice between staying and leaving.,你必须在留下和离开之间做出选择。
choke,使窒息；使窒息； 塞满， 塞住；使窒息；塞满,,He started to choke on a fish bone and called for help.,他被一根鱼刺噎住了，于是大声呼救。
choose,选择，挑选；情愿,,Take your time to choose the best option.,慢慢来，选最好的选项。
chop,排骨；砍；砍，劈；切细,,She used a sharp knife to chop the vegetables.,她用一把锋利的刀切蔬菜。
church,教堂，礼拜堂；教会,,They go to church every Sunday morning.,他们每个星期天早上去教堂。
cigar,雪茄烟,,He lit a cigar and sat on the balcony.,他点了一支雪茄，坐在阳台上。
cigaret,香烟，纸烟，卷烟,,He took a cigaret out of the pack and lit it.,他从烟盒里拿出一支香烟点上。
cigarette,香烟， 纸烟， 卷烟,,Smoking a cigarette is harmful to your health.,吸烟对你的健康有害。
cinema,电影院；电影，影片,,Let us go to the cinema to see the new movie.,我们去电影院看那部新电影吧。
circle,圆，圆周；圈子,,The children sat in a circle around the teacher.,孩子们围着老师坐成一个圆圈。
circuit,电路， 线路； 环行， 巡行；电路；环行；巡行,,The electrician checked the circuit to find the problem.,电工检查了电路以找出问题。
circular,圆的；循环的；圆的；循环的；兜圈子的；通知， 通告,,"The table has a circular shape, so everyone can see each other.",这张桌子是圆形的，所以每个人都能看到彼此。
circulate,使循环；循环；循环， 流通； 流传， 散布， 传播,,Please open the windows to let the fresh air circulate.,请打开窗户让新鲜空气流通。
circulation,循环； 流传； 发行， 流通,,Regular exercise helps improve blood circulation.,经常锻炼有助于改善血液循环。
circumference,圆周，周长，圆周线,,"The circumference of the Earth is about 40,000 kilometers.",地球的周长约为4万公里。
circumstance,情况， 条件； 境遇， 境况； 经济情况；情况，条件；境遇；环境，境遇,,Under no circumstance should you open the door to strangers.,在任何情况下你都不应该给陌生人开门。
cite,引用；引用， 引证； 传唤， 传讯； 表彰， 嘉奖,,You should cite your sources when writing a research paper.,写研究论文时你应该注明出处。
citizen,公民；公民；市民，居民,,Every citizen has the right to vote in the election.,每个公民都有在选举中投票的权利。
city,城市，都市,,Shanghai is a very big and modern city.,上海是一座非常大且现代化的城市。
civil,公民的； 文职的； 民用的； 民事的， 民法的； 文明的；公民的；文职的,,Marriage is both a religious and a civil matter.,婚姻既是宗教事务也是民事事务。
civilian,平民， 百姓；平民，百姓,,Many civilians were affected by the natural disaster.,许多平民受到了这场自然灾害的影响。
civilization,文明；文明， 文化； 开化；文明，文化；开化,,Ancient Egyptian civilization lasted for thousands of years.,古埃及文明持续了数千年。
civilize,使文明， 使开化， 教育；使文明；教育,,Education helps to civilize people and build a better society.,教育有助于教化人们并建设更美好的社会。
civilized,文明的,,We live in a civilized society where rules protect everyone.,我们生活在一个文明社会中，规则保护着每一个人。
claim,声称，主张；对…提出要求，索取；以…为其成果；需要，值得；声称，主张；索取；要求， 认领， 索赔； 声称； 断言,,He claimed that he had never seen the stolen item.,他声称自己从未见过那个被盗的物品。
clap,拍手；拍手， 鼓掌；拍手，轻拍；拍，轻拍,,The audience stood up and clapped at the end of the show.,演出结束时，观众站起来鼓掌。
clarify,澄清， 阐明；澄清，阐明,,Could you please clarify what you meant by that statement?,你能澄清一下你那句话的意思吗？
clash,冲突； 不协调； 刺耳的撞击声；发生冲突；不协调；砰地相撞，发出刺耳的撞击声,,The two teams clashed in a激烈 competition for the championship.,两支球队为了冠军展开了激烈的交锋。
clasp,扣子，钩子；别针,,The clasp on her necklace broke and it fell to the floor.,她项链上的扣子断了，项链掉到了地上。
class,班，班级；阶级,,Our English class starts at nine o'clock.,我们的英语课九点钟开始。
classic,文学名著， 经典作品， 杰作； 优秀的典范； 古典文学， 古典语文研究；最优秀的，典型的，标准的；传统式样的，典雅的,,This novel is a classic of English literature.,这本小说是英国文学的经典之作。
classical,古典的， 经典的；古典的；经典的,,She enjoys listening to classical music while studying.,她喜欢在学习时听古典音乐。
classification,分类， 分级， 分类法； 类别， 级别；分类，级别；分类；分级；分类法,,Books in the library are organized by classification system.,图书馆里的书按照分类系统排列。
classify,把…分类；把…分类， 把…分级；把…分类，把…分级,,Scientists classify animals into different groups.,科学家把动物分为不同的类别。
classmate,同班同学,,She is my classmate and also my best friend.,她是我的同学，也是我最好的朋友。
classroom,教室，课堂,,Our classroom is clean and bright.,我们的教室干净又明亮。
clause,条款； 从句， 分句,,The contract includes a clause about late payment fees.,合同中包含一条关于滞纳金的条款。
claw,抓， 撕；爪，脚爪，螯,,The cat used its claws to climb up the tree.,那只猫用爪子爬上了树。
clay,粘土，泥土；肉体；黏土， 泥土； 肉体,,The potter shaped the wet clay into a beautiful vase.,陶艺家把湿粘土塑造成了一个漂亮的花瓶。
clean,清洁的；纯洁的,,Please clean your room before dinner.,请在晚饭前打扫你的房间。
clear,清晰的；清除,,"The sky is clear today, not a single cloud.",今天天空晴朗，一丝云也没有。
clearly,明白地，清晰地,,She explained the problem clearly so everyone understood.,她把问题解释得很清楚，所以每个人都明白了。
clerk,店员， 办事员， 职员；店员；办事员，职员,,The store clerk helped me find the right size.,店员帮我找到了合适的尺码。
clever,聪明的；机敏的,,The clever fox found a way to get the grapes.,聪明的狐狸找到了够到葡萄的方法。
click,发出咔嗒声；点击；咔嗒声,,Click the mouse button to open the file.,点击鼠标按钮打开文件。
client,委托人， 当事人， 顾客；客户,,The lawyer met with her client to discuss the case.,律师会见了她的当事人讨论案情。
cliff,悬崖， 峭壁；悬崖，峭壁,,"Standing at the edge of the cliff, he could see the ocean below.",站在悬崖边缘，他能看到下方的大海。
climate,气候； 风土， 地带； 风气， 气氛；气候；风土，地带,,The climate in this region is warm and rainy throughout the year.,这个地区的气候全年温暖多雨。
climb,攀登，爬；爬,,The cat tried to climb the tall tree.,那只猫试图爬上那棵高树。
clinic,诊所,,The clinic is open from nine to five on weekdays.,诊所在工作日从九点到五点营业。
cloak,斗篷；覆盖(物),,He wore a dark cloak to keep warm in the cold wind.,他穿了一件黑色的斗篷在冷风中保暖。
clock,钟，仪表,,The clock on the wall shows three o'clock.,墙上的钟显示三点钟。
close,关，闭；结束,,Please close the door when you leave the room.,离开房间时请关上门。
closely,紧密地，接近地,,The police are watching the suspect closely.,警察正在密切监视那名嫌疑人。
cloth,布；衣料；桌布,,She wiped the table with a damp cloth.,她用一块湿抹布擦了桌子。
clothe,给…穿衣服,,It is important to clothe children warmly in winter.,冬天给孩子们穿暖和的衣服很重要。
clothes,衣服，服装；被褥,,She bought some new clothes for the trip.,她为这次旅行买了一些新衣服。
clothing,衣服，被褥,,The store sells warm clothing for the winter season.,这家商店出售冬季保暖衣物。
cloud,云；云状物；阴影,,A white cloud floated across the blue sky.,一朵白云飘过蓝天。
cloudy,多云的；云一般的,,"It is cloudy today, so I will take my umbrella.",今天是阴天，所以我会带伞。
club,俱乐部，夜总会,,I joined the chess club at my school.,我加入了学校的象棋俱乐部。
clue,线索；线索， 暗示， 提示；线索，暗示，提示,,The detective found a clue that helped solve the mystery.,侦探找到了一个有助于解开谜团的线索。
clumsy,笨拙的， 愚笨的； 粗陋的； 不得体的；笨拙的，不圆滑的；笨拙的；愚笨的,,The clumsy waiter dropped the tray of drinks.,那个笨手笨脚的服务员把一托盘饮料弄掉了。
coach,教练；训练， 指导， 辅导；长途公共汽车；长途公共汽车；教练，指导；旅客车厢,,Our basketball coach taught us a new play.,我们的篮球教练教了我们一个新战术。
coal,煤，煤块,,The factory used coal to power its machines.,这家工厂用煤来驱动它的机器。
coarse,粗的， 粗糙的； 粗劣的； 粗俗的；粗的，粗糙的,,The sand on this beach is much coarser than on the other one.,这个海滩上的沙子比另一个海滩上的粗得多。
coast,海岸，海滨(地区),,We drove along the coast and enjoyed the beautiful scenery.,我们沿着海岸开车，欣赏美丽的风景。
coat,外套，上衣；表皮,,"Put on your coat, it is cold outside.",穿上你的外套，外面很冷。
cock,公鸡；雄禽；旋塞,,The cock crows every morning at sunrise.,公鸡每天日出时打鸣。
code,代码，密码；准则；法典；代码,,Each student has a personal code to log into the system.,每个学生都有一个个人密码来登录系统。
coffee,咖啡，咖啡茶,,Would you like a cup of coffee?,你想来杯咖啡吗？
coil,(一)卷；线圈；卷；卷，圈；线圈,,The snake coiled itself around the branch.,蛇把自己缠绕在树枝上。
coin,硬币；铸造(硬币),,He collected old coins from different countries.,他收集来自不同国家的旧硬币。
cold,冷；冷的；冷淡的,,The water is too cold for swimming.,水太冷了，不适合游泳。
collaborative,合作的， 协作的， 协力完成的,,The project required a collaborative effort from the whole team.,这个项目需要整个团队的协作努力。
collapse,倒坍；塌下；倒坍；崩溃，瓦解；突然失败；突然瓦解,,The old building collapsed after the heavy rain.,大雨过后，那座旧建筑倒塌了。
collar,衣领，项圈,,He buttoned the collar of his shirt before going out.,他出门前扣好了衬衫的领子。
colleague,同事；同事， 同僚；同事，同僚,,I discussed the new plan with my colleagues at the meeting.,我在会议上和同事们讨论了新计划。
collect,收款；收集,,The children collect shells on the beach during summer vacation.,孩子们在暑假期间去海滩捡贝壳。
collection,搜集， 聚集， 积聚； 收集， 收取； 收藏品， 收集的东西；搜集，收集；收藏品,,He has a large collection of stamps from around the world.,他有一大批来自世界各地的邮票收藏。
collective,团体， 集体；集体的，集合性的；集体的；集合性的,,The collective effort of the community made the event a success.,社区的集体努力使这次活动取得了成功。
college,学院；大学,,She graduated from college last year and found a job quickly.,她去年大学毕业，很快就找到了工作。
collision,撞击；冲突；碰撞； 冲突， 抵触；碰撞；冲突,,The collision between the two cars caused a traffic jam.,两辆车相撞造成了交通堵塞。
colonel,陆军上校；中校,,The colonel gave orders to the soldiers to advance.,上校命令士兵们前进。
colony,殖民地； 侨居地， 聚居地； 群体， 集群；殖民地；侨居地,,This country was once a colony of the British Empire.,这个国家曾经是大英帝国的殖民地。
color,颜色，彩色；颜料,,What color do you want to paint your bedroom?,你想把卧室刷成什么颜色？
column,专栏；柱， 支柱， 圆柱； 纵队； 栏， 专栏；柱，支柱，圆柱,,She writes a weekly column for the local newspaper.,她为当地报纸每周写一个专栏。
comb,梳子；梳子；鸡冠，冠状物；梳理；梳理； 在…搜寻； 彻底搜查,,She used a comb to brush her hair before going to school.,她去上学前用梳子梳理了头发。
combat,与…斗争， 与…战斗；战争，斗争，格斗,,The soldiers trained hard to prepare for combat.,士兵们刻苦训练为战斗做准备。
combination,结合， 联合； 化合；结合，联合；化合；联合，结合,,"The combination of flour, eggs, and sugar makes a cake.",面粉、鸡蛋和糖的组合就能做成蛋糕。
combine,使结合；兼有；结合， 联合； 化合；联合企业； 联合收割机；联合，结合,,We need to combine our efforts to finish the project on time.,我们需要齐心协力才能按时完成项目。
come,来，来到；出现,,Come here and look at this picture.,过来看这张照片。
comedy,喜剧， 喜剧性,,We watched a comedy that made us laugh the whole time.,我们看了一部喜剧，全程都在笑。
comfort,安慰；舒适；安慰,,Her friends came to comfort her when she felt sad.,当她难过的时候，她的朋友们来安慰她。
comfortable,舒适的，安慰的,,This sofa is very comfortable to sit on after a long day.,漫长的一天之后，坐在这张沙发上很舒服。
command,命令， 指挥， 控制；命令，指挥；控制,,The general commanded his troops to move forward.,将军命令他的部队向前推进。
commander,司令官， 指挥员；司令官，指挥员,,The commander was responsible for the safety of all the soldiers.,指挥官负责所有士兵的安全。
commencement,毕业典礼,,The commencement ceremony will be held in the main hall.,毕业典礼将在大礼堂举行。
comment,评论；评论，意见，注释；闲话，议论；评论，意见；注释,,He made a comment about the quality of the food.,他对食物质量发表了评论。
commerce,商业， 贸易； 社交；商业，贸易；社交,,The city has become a center of international commerce.,这座城市已成为国际贸易中心。
commercial,商业的， 商务的； 商品化的， 商业性的；商业的；商品化的,,There are too many commercial advertisements on this website.,这个网站上有太多的商业广告。
commission,委任状；委员会；委任状；委员会；佣金，回扣；授权，委托；委任， 委托,,She earns a commission on every product she sells.,她每卖出一件产品就能获得一笔佣金。
commit,犯(错误);干(坏事)；犯罪，承担义务；犯， 干； 使承诺； 把…托付给； 调拨…供使用， 拨出,,He committed a serious mistake by not checking the data.,他没有检查数据，犯了一个严重的错误。
commitment,承诺， 许诺， 保证； 信奉， 献身； 承担的义务；承诺，保证,,She made a commitment to finish the project by Friday.,她承诺在周五之前完成这个项目。
committee,委员会；委员会， 全体委员；委员会；全体委员,,The committee meets every Monday to discuss school issues.,委员会每周一开会讨论学校的事务。
common,普通的；共同的,,English is a common language used in international business.,英语是国际商务中常用的语言。
commonly,普通地，一般地,,This plant is commonly found in tropical forests.,这种植物常见于热带森林。
communicate,通讯； 交际， 交流； 连接， 相通； 传达， 传播； 传染；通讯；传达；传播,,It is important to communicate clearly with your team members.,与团队成员清晰地沟通很重要。
communication,通讯， 交流， 交际； 通信工具， 交通联系；通讯；传达；交通,,Good communication is the key to a successful relationship.,良好的沟通是成功关系的关键。
communism,共产主义,,Communism aims to create a classless society.,共产主义旨在创造一个无阶级的社会。
communist,共产党员,,He was a devoted communist who believed in equality for all.,他是一位忠诚的共产主义者，相信人人平等。
community,社区， 社会， 公社； 团体， 界； 群落；社区；社会；公社,,The local community organized a charity event for the elderly.,当地社区为老年人组织了一场慈善活动。
companion,同伴， 共事者； 伴侣；同伴；共事者；伴侣,,Her dog has been her faithful companion for ten years.,她的狗十年来一直是她忠实的伙伴。
company,公司，商号；同伴,,My father works for a big computer company.,我父亲在一家大型电脑公司工作。
comparable,可比较的； 类似的； 比得上的,,The quality of these two products is comparable.,这两种产品的质量是可比较的。
comparative,比较的， 相对的；比较的，相对的,,We did a comparative study of different teaching methods.,我们对不同的教学方法做了比较研究。
compare,比较， 对照； 把…比作；比较，对照；比较，对照；比作,,Let's compare the prices before buying.,让我们在购买前比较一下价格。
comparison,比较， 对照； 比拟， 比喻；比较，对照；比似,,The comparison between the two phones shows many differences.,这两款手机的对比显示出许多差异。
compass,罗盘， 指南针； 圆规； 界限， 范围；罗盘，指南针；圆规,,A compass helps you find direction when you are lost.,指南针能帮你在迷路时找到方向。
compassion,同情， 怜悯,,She showed compassion for the homeless man.,她对这个无家可归的人表示了同情。
compel,强迫；强迫， 迫使屈服；强迫，迫使屈服,,The law compels everyone to pay taxes.,法律强制每个人都要纳税。
compensate,弥补，补偿,,The company will compensate you for your loss.,公司会赔偿你的损失。
compensation,弥补，补偿；补偿， 赔偿,,He received compensation for his hard work.,他因辛勤工作而获得了补偿。
compete,比赛， 竞争， 对抗；比赛；竞争；对抗；竞争,,Many athletes compete in the Olympic Games.,许多运动员在奥运会上竞争。
competent,有能力的， 能胜任的；有能力的；应该做的；胜任的，有能力的,,She is a competent teacher who explains things clearly.,她是一位能胜任的老师，讲解得很清楚。
competition,竞争， 比赛；竞争，比赛,,There is strong competition for this job.,这份工作的竞争很激烈。
competitive,竞争的， 比赛的； 好竞争的， 求胜心切的； 有竞争力的,,He is very competitive and always wants to win.,他很好胜，总是想赢。
competitiveness,竞争力,,The company needs to improve its competitiveness.,这家公司需要提高其竞争力。
competitor,竞争者，对手,,Our main competitor has launched a new product.,我们的主要竞争对手推出了一款新产品。
compile,编辑，编制，搜集,,We need to compile all the data for the report.,我们需要为这份报告收集所有数据。
complacency,自满，满足,,Complacency can lead to failure.,自满会导致失败。
complain,抱怨；抱怨， 诉苦； 控告， 投诉；抱怨，拆苦；控告,,He always complains about the weather.,他总是抱怨天气。
complaint,抱怨; 投诉；抱怨， 怨言； 控告；抱怨；怨言；控告,,"If you have a complaint, please speak to the manager.",如果你有投诉，请跟经理说。
complement,补充,,The red wine complements the steak perfectly.,红酒和牛排搭配得相得益彰。
complete,完成；完整的，彻底的；完整的；完成的,,Please complete the form before leaving.,请在离开前填完这张表格。
completely,十分，完全地,,I completely agree with your opinion.,我完全同意你的观点。
complex,复杂的；由许多部分组成的， 复合的； 复杂的， 难懂的；结合的；复杂的,,This math problem is very complex.,这道数学题非常复杂。
complicate,使复杂；使陷入,,Don't complicate things by adding too many rules.,不要加入太多规则把事情复杂化。
complicated,复杂的， 难懂的；复杂的，难懂的,,The instructions are too complicated to follow.,这些说明太复杂了，难以遵照执行。
comply,遵从,,All students must comply with the school rules.,所有学生都必须遵守学校规定。
component,成分；组成的， 构成的；组成部分，部件，组件；组成部分；分；组件,,The computer has many different components.,电脑有许多不同的组件。
compose,组成， 构成； 创作， 为…谱曲； 使平静， 使镇静；组成，构成；创作,,Water is composed of hydrogen and oxygen.,水由氢和氧组成。
composition,构成；作品；写作,,This composition is about my summer vacation.,这篇作文是关于我的暑假的。
compound,使恶化， 加重； 使化合， 使合成；化合物，复合物；复合词；化合物；复合词；复合的， 化合的,,Water is a compound of hydrogen and oxygen.,水是氢和氧的化合物。
comprehension,理解， 理解力， 领悟； 理解力测验；理解，理解力；领悟,,This reading comprehension exercise is quite easy.,这篇阅读理解练习相当简单。
comprehensive,广泛的， 综合的； 理解的；广泛的；理解的；综合的，全面的,,The book offers a comprehensive introduction to history.,这本书提供了对历史的全面介绍。
compress,压紧， 压缩；压紧，压缩,,You can compress the file to make it smaller.,你可以压缩文件使其变小。
comprise,包含， 包括， 构成；包含，包括；构成,,The team comprises ten members.,这个团队由十名成员组成。
compromise,妥协，和解；妥协，和解，折中办法；妥协； 危及； 放弃,,Both sides need to reach a compromise.,双方需要达成妥协。
compute,计算，估计，估算,,Please compute the total cost for me.,请帮我计算一下总费用。
computer,计算机，电脑,,She uses a computer to do her homework.,她用电脑做作业。
comrade,同志，亲密的同伴,,He fought bravely beside his comrades.,他在战友身边英勇作战。
conceal,把…隐藏起来；把…隐藏起来， 掩盖， 隐瞒,,She tried to conceal her disappointment.,她试图掩饰她的失望。
concede,承认， 承认…为真； 承认失败； 允许， 让予； 让步， 认输,,He had to concede that he was wrong.,他不得不承认自己错了。
concentrate,全神贯注，全力以赴；集中，聚集；浓缩；浓缩物， 浓缩液；集中；聚集；浓缩,,I need to concentrate on my studies.,我需要专注于学习。
concentration,集中；集中； 专注， 专心； 浓缩， 浓度；集中；专注；浓缩,,This work requires a lot of concentration.,这项工作需要高度集中注意力。
concept,概念， 观念， 设想；概念，观念，设想；观点，观念,,The concept of time is difficult for young children.,时间的概念对小孩子来说很难理解。
concern,关切的事，有关的事；关心，挂念；关系，关联；公司，企业；关心，挂念；关系；涉及， 有关； 使关心， 使担心；涉及，关系到,,I am concerned about your health.,我很担心你的健康。
concerning,关于,,I have a question concerning the new policy.,我有一个关于新政策的问题。
concert,音乐会，演奏会,,We went to a concert last night.,我们昨晚去听了一场音乐会。
concession,让步， 妥协； 特许， 特许权； 承认， 认可,,The company made a concession to the workers.,公司对工人做出了让步。
conclude,推断出， 推论出； 结束， 终了； 缔结， 议定；推断出；结束,,What can you conclude from this experiment?,你能从这个实验中得出什么结论？
conclusion,结论；结论， 推论； 结尾； 缔结， 议定；结论，推论；结尾,,"In conclusion, I think we should accept the offer.",总之，我认为我们应该接受这个提议。
concrete,具体的；实在的， 具体的；混凝土；具体物,,We need concrete evidence to prove the case.,我们需要具体的证据来证明这个案子。
condemn,谴责， 指责； 判…刑， 宣告…有罪；谴责，指责；判刑,,The government condemned the violent attack.,政府谴责了这次暴力袭击。
condense,冷凝， 凝结； 浓缩， 压缩， 简缩；压缩，使缩短,,Can you condense this paragraph into one sentence?,你能把这一段缩写成一句话吗？
condition,状况， 状态； 环境；状况，状态；环境,,The car is in good condition.,这辆车状况良好。
conduct,举止， 行为； 指导； 管理； 实施；举止，行为；指导；进行； 管理， 指挥， 引导； 传输， 传导,,The experiment was conducted by a team of scientists.,这项实验是由一组科学家进行的。
conductor,售票员， 列车长； 指挥； 导体；售票员；(乐队)指挥,,The conductor raised his baton to begin.,指挥举起了指挥棒准备开始。
conference,会议， 讨论会； 讨论， 商谈；会议，讨论会,,The teacher is in a conference right now.,老师正在开会。
confess,供认， 坦白； 承认；供认，承认；坦白,,He confessed to stealing the money.,他承认偷了钱。
confidence,信任， 信赖； 信心， 自信；信任；信赖；信心；信心,,I have confidence in your ability to succeed.,我对你有能力取得成功充满信心。
confident,确信的， 肯定的； 自信的；确信的，自信的,,She is confident that she will pass the exam.,她自信能通过考试。
confidential,秘密的， 机密的； 亲信的,,This document is confidential.,这份文件是机密的。
confine,限制， 使局限； 使不外出， 禁闭；限制；禁闭,,Please confine your discussion to the topic.,请将讨论限制在这个话题内。
confirm,确认；证实；批准；证实， 肯定； 确认； 批准；证实，肯定；批准,,Please confirm your attendance by email.,请通过邮件确认你是否出席。
conflict,争论；冲突；斗争；冲突；冲突， 抵触；冲突， 抵触， 争论； 战斗， 战争,,The two countries are in conflict over the border.,这两个国家在边界问题上存在冲突。
conform,相一致，遵守,,You must conform to the rules of the game.,你必须遵守游戏规则。
confront,迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证；面对,,We must confront the problem instead of ignoring it.,我们必须正视问题，而不是忽视它。
confrontation,冲突，对抗,,The confrontation between the two groups was intense.,两组之间的对抗非常激烈。
confuse,使困惑， 把…弄糊涂； 混淆， 把…混同； 混乱， 搞乱；使混乱，混淆；使混淆，迷惑,,Don't confuse the two words; they have different meanings.,不要混淆这两个词，它们的意思不同。
confusion,困惑， 糊涂； 混淆； 骚乱；混乱；骚乱；混淆,,There was a lot of confusion about the new schedule.,关于新时间表有很多困惑。
congratulate,祝贺， 向…道喜；祝贺，向…道喜,,I want to congratulate you on your promotion.,我想祝贺你升职了。
congratulation,祝贺；祝贺词；贺词； 祝贺， 恭喜,,Congratulations on your graduation!,恭喜你毕业了！
congress,代表大会； [C-]国会， 议会；大会；国会，议会,,Congress will discuss the new law next week.,国会将于下周讨论这项新法律。
conjunction,接合， 连接， 联合； 连词；接合，连接；连接词,,"The word ""and"" is a conjunction.","""and""这个词是一个连词。"
connect,连接， 结合， 联系； 给…接通电话；连接，连结；联系,,Please connect the printer to the computer.,请把打印机连接到电脑。
connection,联系， 关系； 连接， 衔接； 连贯性； 熟人， 关系；连接，联系；连贯性,,There is a strong connection between diet and health.,饮食和健康之间有很强的联系。
connectivity,连接，联系,,The internet connectivity in this area is very good.,这个地区的互联网连接很好。
connexion,connection的英式拼法,,Connexion is the British spelling of connection.,Connexion是connection的英式拼法。
conquer,征服， 战胜； 破除， 克服；征服，战胜；破除,,The team conquered all their opponents.,这支队伍击败了所有对手。
conquest,攻取， 征服， 克服；攻取，征服；克服,,The conquest of the mountain took three days.,征服这座山花了三天时间。
conscience,良心；良心， 道德心；良心，道德心,,My conscience is clear because I told the truth.,我问心无愧，因为我讲了实话。
conscious,意识到的， 自觉的； 神志清醒的； 有意的， 存心的；意识到的；有意的,,He was still conscious after the accident.,事故后他仍然神志清醒。
consciousness,意识；意识，觉悟；知觉,,He lost consciousness after hitting his head.,他撞到头后失去了意识。
consensus,一致意见,,The group reached a consensus after a long discussion.,经过长时间讨论，小组达成了一致意见。
consent,允许，同意；同意；同意，一致；同意，赞成,,You need your parents' consent to go on the trip.,你需要征得父母同意才能去旅行。
consequence,结果， 后果； 重要， 重大；结果，后果；结果，成果,,"If you don't study, you will face the consequences.",如果你不学习，就要承担后果。
consequently,因此， 因而， 所以；因此，因而，所以；结果,,"He didn't study; consequently, he failed the exam.",他没有学习，因此考试不及格。
conservation,保存，保护；守恒；保存； 保护； 守恒；保护，保存,,We should all care about wildlife conservation.,我们都应该关心野生动物保护。
conservative,保守的；保守的人；保守的，传统的；保守的，守旧的；不时兴的，传统的,,My grandfather has very conservative views.,我祖父的观念非常保守。
consider,认为；考虑；关心,,Please consider my proposal carefully.,请仔细考虑我的建议。
considerable,相当大(或多)的；相当大的； 重要的；相当大的；重要的,,There has been a considerable improvement in her English.,她的英语有了相当大的进步。
considerably,相当地，非常地,,The price has increased considerably.,价格已经大幅上涨了。
